Date time		Value
12/06/2021; 12:03:55	29.34	41 
12/06/2021; 12:04:55	28.62	40 
12/06/2021; 12:05:55	31.72	38 
12/06/2021; 12:06:55	32.10	38 
12/06/2021; 12:07:55	31.91	38 
12/06/2021; 12:08:55	31.91	38 
12/06/2021; 12:09:55	31.82	37 
12/06/2021; 12:10:55	31.63	37 
12/06/2021; 12:11:55	31.54	38 
12/06/2021; 12:12:54	31.45	40 
12/06/2021; 12:13:54	31.63	40 
12/06/2021; 12:14:54	31.72	42 
12/06/2021; 12:15:54	31.82	41 
12/06/2021; 12:16:54	31.54	41 
12/06/2021; 12:17:54	31.72	42 
12/06/2021; 12:18:54	31.82	42 
12/06/2021; 12:19:54	31.72	42 
12/06/2021; 12:20:53	31.54	42 
12/06/2021; 12:21:53	31.45	42 
12/06/2021; 12:22:53	31.45	42 
12/06/2021; 12:23:53	31.63	43 
12/06/2021; 12:24:53	31.45	42 
12/06/2021; 12:25:53	31.35	42 
12/06/2021; 12:26:53	31.35	42 
12/06/2021; 12:27:53	31.17	42 
12/06/2021; 12:28:53	31.26	42 
12/06/2021; 12:29:52	31.26	43 
12/06/2021; 12:30:52	31.17	63 
12/06/2021; 12:31:52	31.17	60 
12/06/2021; 12:32:52	31.54	52 
12/06/2021; 12:33:52	31.26	47 
12/06/2021; 12:34:52	31.45	34 
12/06/2021; 12:35:52	31.35	33 
12/06/2021; 12:36:52	31.35	61 
12/06/2021; 12:37:51	31.35	45 
12/06/2021; 12:38:51	31.45	42 
12/06/2021; 12:39:51	31.54	41 
12/06/2021; 12:40:51	31.54	40 
12/06/2021; 12:41:51	31.72	40 
12/06/2021; 12:42:51	31.54	39 
12/06/2021; 12:43:51	31.72	25 
12/06/2021; 12:44:51	31.63	24 
12/06/2021; 12:45:50	31.82	23 
12/06/2021; 12:46:50	31.54	22 
12/06/2021; 12:47:50	31.72	23 
12/06/2021; 12:48:50	31.72	22 
12/06/2021; 12:49:50	31.82	21 
12/06/2021; 12:50:50	31.82	7 
12/06/2021; 12:51:50	32.10	34 
12/06/2021; 12:52:50	31.91	30 
12/06/2021; 12:53:50	31.82	30 
12/06/2021; 12:53:59	31.72	30 
12/06/2021; 12:54:59	31.82	30 
12/06/2021; 12:55:59	32.00	30 
12/06/2021; 12:56:59	31.91	30 
12/06/2021; 12:57:59	31.91	30 
12/06/2021; 12:58:59	32.00	30 
12/06/2021; 12:59:59	31.91	30 
12/06/2021; 13:00:59	31.82	30 
12/06/2021; 13:01:59	31.82	31 
12/06/2021; 13:02:58	31.82	31 
12/06/2021; 13:03:58	31.82	31 
12/06/2021; 13:04:58	32.19	31 
12/06/2021; 13:05:58	31.91	32 
12/06/2021; 13:06:58	31.72	31 
12/06/2021; 13:07:58	31.82	32 
12/06/2021; 13:08:58	31.72	32 
12/06/2021; 13:09:58	31.82	32 
12/06/2021; 13:10:57	31.82	32 
12/06/2021; 13:11:57	31.72	32 
12/06/2021; 13:12:57	31.72	32 
12/06/2021; 13:13:57	31.72	32 
12/06/2021; 13:14:57	31.63	32 
12/06/2021; 13:15:57	31.72	33 
12/06/2021; 13:16:57	31.72	32 
12/06/2021; 13:17:57	31.63	32 
12/06/2021; 13:18:56	31.54	33 
12/06/2021; 13:19:56	31.54	33 
12/06/2021; 13:20:56	31.54	32 
12/06/2021; 13:21:56	31.63	33 
12/06/2021; 13:22:56	31.54	33 
12/06/2021; 13:23:56	31.54	33 
12/06/2021; 13:24:56	31.54	33 
12/06/2021; 13:25:56	31.63	33 
12/06/2021; 13:26:56	31.54	33 
12/06/2021; 13:27:55	31.63	33 
12/06/2021; 13:28:55	31.54	33 
12/06/2021; 13:29:55	31.45	33 
12/06/2021; 13:30:55	31.63	33 
12/06/2021; 13:31:55	31.54	33 
12/06/2021; 13:32:55	31.54	33 
12/06/2021; 13:33:55	31.54	33 
12/06/2021; 13:34:55	31.82	33 
12/06/2021; 13:35:54	31.54	33 
12/06/2021; 13:36:54	31.63	33 
12/06/2021; 13:37:54	31.63	33 
12/06/2021; 13:38:54	31.35	33 
12/06/2021; 13:39:54	31.63	33 
12/06/2021; 13:40:54	31.63	33 
12/06/2021; 13:41:54	31.63	33 
12/06/2021; 13:42:54	31.72	34 
12/06/2021; 13:43:53	31.63	34 
12/06/2021; 13:44:53	31.63	34 
12/06/2021; 13:45:53	31.63	34 
12/06/2021; 13:46:53	31.54	34 
12/06/2021; 13:47:53	31.72	33 
12/06/2021; 13:48:53	31.54	33 
12/06/2021; 13:49:53	31.54	33 
12/06/2021; 13:50:53	31.45	33 
12/06/2021; 13:51:53	31.45	34 
12/06/2021; 13:52:52	31.35	33 
12/06/2021; 13:53:52	31.45	33 
12/06/2021; 13:54:52	31.54	33 
12/06/2021; 13:55:52	31.54	34 
12/06/2021; 13:56:52	31.54	34 
12/06/2021; 13:57:52	31.54	33 
12/06/2021; 13:58:52	31.54	33 
12/06/2021; 13:59:52	31.54	34 
12/06/2021; 14:00:51	31.54	33 
12/06/2021; 14:01:51	31.63	34 
12/06/2021; 14:02:51	31.72	34 
12/06/2021; 14:03:51	31.54	33 
12/06/2021; 14:04:51	31.54	34 
12/06/2021; 14:05:51	31.54	34 
12/06/2021; 14:06:51	31.63	33 
12/06/2021; 14:07:51	31.72	33 
12/06/2021; 14:08:50	31.82	34 
12/06/2021; 14:09:50	31.63	33 
12/06/2021; 14:10:50	31.54	33 
12/06/2021; 14:11:50	31.45	34 
12/06/2021; 14:12:50	31.45	33 
12/06/2021; 14:13:50	31.45	34 
12/06/2021; 14:14:50	31.54	33 
12/06/2021; 14:15:50	31.54	33 
12/06/2021; 14:16:50	31.54	33 
12/06/2021; 14:17:59	31.54	33 
12/06/2021; 14:18:59	31.54	32 
12/06/2021; 14:19:59	31.63	32 
12/06/2021; 14:20:59	31.72	-87 
12/06/2021; 14:21:59	ÿ	 
12/06/2021; 14:22:59	ÿ	 
12/06/2021; 14:23:59	ÿ	 
12/06/2021; 14:24:59	ÿ	 
12/06/2021; 14:25:59	ÿ	 
12/06/2021; 14:26:54	31.91	70 
12/06/2021; 14:27:54	31.91	49 
12/06/2021; 14:28:54	31.63	65 
12/06/2021; 14:29:54	31.63	56 
12/06/2021; 14:30:54	31.72	52 
12/06/2021; 14:31:54	31.63	49 
12/06/2021; 14:32:53	31.54	48 
12/06/2021; 14:33:53	31.54	47 
12/06/2021; 14:34:53	31.45	46 
12/06/2021; 14:35:53	31.54	46 
12/06/2021; 14:36:53	31.54	46 
12/06/2021; 14:37:53	31.26	46 
12/06/2021; 14:38:53	31.45	46 
12/06/2021; 14:39:53	31.45	46 
12/06/2021; 14:40:52	31.45	46 
12/06/2021; 14:41:52	31.35	47 
12/06/2021; 14:42:52	31.17	47 
12/06/2021; 14:43:52	31.17	48 
12/06/2021; 14:44:52	31.45	48 
12/06/2021; 14:45:52	31.35	48 
12/06/2021; 14:46:52	31.35	49 
12/06/2021; 14:47:52	31.35	50 
12/06/2021; 14:48:51	31.26	49 
12/06/2021; 14:49:51	31.35	50 
12/06/2021; 14:50:51	31.45	50 
12/06/2021; 15:05:13	ÿ	 
12/06/2021; 15:05:18		 
12/06/2021; 15:05:20	31.35	54 
12/06/2021; 15:05:30	31.45	54 
12/06/2021; 15:05:39	31.45	54 
12/06/2021; 15:05:49	31.45	54 
12/06/2021; 15:05:59	31.54	54 
12/06/2021; 15:08:19	31.35	54 
12/06/2021; 15:08:29	31.45	55 
12/06/2021; 15:08:39	31.35	54 
12/06/2021; 15:08:49	31.45	54 
12/06/2021; 15:08:59	31.35	55 
12/06/2021; 15:09:09	31.45	55 
12/06/2021; 15:09:19	31.35	54 
12/06/2021; 15:09:29	31.45	55 
12/06/2021; 15:09:39	31.35	55 
12/06/2021; 15:09:49	31.08	55 
12/06/2021; 15:09:59	31.17	55 
12/06/2021; 15:12:39	31.26	56 
12/06/2021; 15:12:49	31.17	55 
12/06/2021; 15:12:59	31.26	55 
12/06/2021; 15:13:09	30.99	55 
12/06/2021; 15:13:19	31.26	56 
12/06/2021; 15:13:29	31.35	56 
12/06/2021; 15:13:39	31.26	56 
12/06/2021; 15:13:49	31.17	56 
12/06/2021; 15:13:58	31.35	56 
12/06/2021; 15:14:08	31.17	56 
12/06/2021; 15:14:18	31.17	56 
